account_id,customer_id,account_type,account_category,product_family,deposit_credit_type,interest_bearing_flag,risk_category,currency_code,is_active_product,account_status,balance,opened_date,closed_date,branch_code,branch_name,branch_city,branch_state,branch_country,branch_region,branch_type,is_active_branch,created_date,updated_date
A00022,C00074,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,6330.13,2019-08-01,2025-10-30,BR007,Calgary Branch 7,Calgary,Alberta,Canada,West,Retail,1,2019-08-01,2026-08-18
A00023,C01043,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,57949.11,2025-01-12,,BR012,Toronto Branch 12,Toronto,Ontario,Canada,Central,Retail,1,2025-01-12,2026-08-18
A00024,C00577,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,91477.67,2016-03-18,,BR024,Vancouver Branch 24,Vancouver,British Columbia,Canada,West,Retail,1,2016-03-18,2026-08-18
A00025,C00525,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,ACTIVE,83399.65,2021-09-13,,BR025,Calgary Branch 25,Calgary,Alberta,Canada,West,Retail,1,2021-09-13,2026-08-18
A00026,C00060,CREDIT CARD,Credit,Cards,Credit,1,Medium,CAD,1,A,64871.5,2020-05-13,,BR015,Toronto Branch 15,Toronto,Ontario,Canada,Central,Retail,1,2020-05-13,2026-08-18
A00027,C00422,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,A,3686.84,2022-04-06,,BR004,Calgary Branch 4,Calgary,Alberta,Canada,West,Retail,1,2022-04-06,2026-08-18
A00028,C00740,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,88608.54,2019-12-22,,BR010,Calgary Branch 10,Calgary,Alberta,Canada,West,Retail,1,2019-12-22,2026-08-18
A00029,C00026,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,50865.49,2017-10-27,2020-05-02,BR010,Halifax Branch 10,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2017-10-27,2026-08-18
A00030,C00339,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,CLOSED,45517.38,2020-04-16,2024-01-16,BR013,Toronto Branch 13,Toronto,Ontario,Canada,Central,Retail,1,2020-04-16,2026-08-18
A00031,C00001,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,ACTIVE,7306.25,2019-11-28,,BR004,Vancouver Branch 4,Vancouver,British Columbia,Canada,West,Retail,1,2019-11-28,2026-08-18
A00032,C01164,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,A,29996.38,2011-01-09,,BR013,Calgary Branch 13,Calgary,Alberta,Canada,West,Retail,1,2011-01-09,2026-08-18
A00033,C00764,CHEQUING,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,97079.49,2011-06-07,,BR024,Halifax Branch 24,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2011-06-07,2026-08-18
A00034,C00619,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,C,3016.77,2023-11-01,2026-01-27,BR004,Montreal Branch 4,Montreal,Quebec,Canada,Central,Retail,1,2023-11-01,2026-08-18
A00035,C00358,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,87969.2,2024-04-04,,BR016,Montreal Branch 16,Montreal,Quebec,Canada,Central,Retail,1,2024-04-04,2026-08-18
A00036,C00554,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,69339.32,2012-12-08,2026-01-08,BR009,Halifax Branch 9,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2012-12-08,2026-08-18
A00037,C00773,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,ACTIVE,21155.3,2025-02-24,,BR013,Calgary Branch 13,Calgary,Alberta,Canada,West,Retail,1,2025-02-24,2026-08-18
A00038,C01182,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,17089.8,2025-07-27,2026-03-25,BR001,Halifax Branch 1,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2025-07-27,2026-08-18
A00039,C00557,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,80095.07,2018-12-10,2021-04-18,BR001,Halifax Branch 1,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2018-12-10,2026-08-18
A00040,C01145,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,87288.85,2024-01-21,,BR014,Toronto Branch 14,Toronto,Ontario,Canada,Central,Retail,1,2024-01-21,2026-08-18
A00041,C00968,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,A,59603.93,2011-05-12,,BR015,Toronto Branch 15,Toronto,Ontario,Canada,Central,Retail,1,2011-05-12,2026-08-18
A00042,C00711,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,31731.48,2021-12-18,,BR021,Montreal Branch 21,Montreal,Quebec,Canada,Central,Retail,1,2021-12-18,2026-08-18
A00043,C01013,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,14337.14,2022-06-15,2024-03-04,BR022,Toronto Branch 22,Toronto,Ontario,Canada,Central,Retail,1,2022-06-15,2026-08-18
A00044,C00956,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,32946.81,2023-02-20,2023-12-28,BR012,Montreal Branch 12,Montreal,Quebec,Canada,Central,Retail,1,2023-02-20,2026-08-18
A00045,C00327,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,ACTIVE,59678.65,2015-01-11,,BR018,Calgary Branch 18,Calgary,Alberta,Canada,West,Retail,1,2015-01-11,2026-08-18
A00046,C00086,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,CLOSED,99045.65,2022-02-27,2022-11-13,BR018,Toronto Branch 18,Toronto,Ontario,Canada,Central,Retail,1,2022-02-27,2026-08-18
A00047,C00686,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,ACTIVE,73840.98,2010-05-18,,BR022,Calgary Branch 22,Calgary,Alberta,Canada,West,Retail,1,2010-05-18,2026-08-18
A00048,C00805,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,93661.27,2020-12-27,2024-02-23,BR017,Halifax Branch 17,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2020-12-27,2026-08-18
A00049,C00930,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,22194.39,2021-12-14,,BR021,Calgary Branch 21,Calgary,Alberta,Canada,West,Retail,1,2021-12-14,2026-08-18
A00050,C00628,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,49267.89,2010-09-26,,BR003,Toronto Branch 3,Toronto,Ontario,Canada,Central,Retail,1,2010-09-26,2026-08-18
A00051,C00049,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,95130.83,2019-04-18,,BR007,Vancouver Branch 7,Vancouver,British Columbia,Canada,West,Retail,1,2019-04-18,2026-08-18
A00052,C00147,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,ACTIVE,82679.49,2019-02-07,,BR022,Halifax Branch 22,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2019-02-07,2026-08-18
A00053,C00615,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,C,40001.58,2024-02-14,2026-01-21,BR023,Montreal Branch 23,Montreal,Quebec,Canada,Central,Retail,1,2024-02-14,2026-08-18
A00054,C00086,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,CLOSED,58763.93,2021-04-10,2024-10-29,BR016,Vancouver Branch 16,Vancouver,British Columbia,Canada,West,Retail,1,2021-04-10,2026-08-18
A00055,C00786,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,A,25206.11,2025-06-12,,BR016,Halifax Branch 16,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2025-06-12,2026-08-18
A00056,C00178,SAVING,Deposit,Retail Banking,Deposit,1,Low,CAD,1,A,37686.71,2021-11-16,,BR016,Vancouver Branch 16,Vancouver,British Columbia,Canada,West,Retail,1,2021-11-16,2026-08-18
A00057,C00691,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,A,45195.96,2012-02-08,,BR024,Montreal Branch 24,Montreal,Quebec,Canada,Central,Retail,1,2012-02-08,2026-08-18
A00058,C00195,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,C,21263.81,2025-01-11,2026-05-18,BR014,Calgary Branch 14,Calgary,Alberta,Canada,West,Retail,1,2025-01-11,2026-08-18
A00059,C00563,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,A,49958.3,2010-09-15,,BR015,Toronto Branch 15,Toronto,Ontario,Canada,Central,Retail,1,2010-09-15,2026-08-18
A00060,C00357,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,A,69670.76,2011-05-19,,BR016,Calgary Branch 16,Calgary,Alberta,Canada,West,Retail,1,2011-05-19,2026-08-18
A00061,C00318,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,,2015-01-10,2024-09-04,BR004,Montreal Branch 4,Montreal,Quebec,Canada,Central,Retail,1,2015-01-10,2026-08-18
A00062,C00362,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,A,38424.02,2025-08-08,,BR024,Toronto Branch 24,Toronto,Ontario,Canada,Central,Retail,1,2025-08-08,2026-08-18
A00063,C00911,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,84476.61,2019-03-08,2025-10-22,BR008,Halifax Branch 8,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2019-03-08,2026-08-18
A00064,C00881,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,A,43528.78,2015-03-05,,BR012,Halifax Branch 12,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2015-03-05,2026-08-18
A00065,C00572,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,A,41571.77,2021-11-18,,BR002,Calgary Branch 2,Calgary,Alberta,Canada,West,Retail,1,2021-11-18,2026-08-18
A00066,C00733,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,A,25908.95,2023-02-03,,BR022,Calgary Branch 22,Calgary,Alberta,Canada,West,Retail,1,2023-02-03,2026-08-18
A00067,C00383,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,A,15780.53,2017-03-04,,BR019,Vancouver Branch 19,Vancouver,British Columbia,Canada,West,Retail,1,2017-03-04,2026-08-18
A00068,C00380,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,CLOSED,97071.97,2021-09-09,2022-02-22,BR022,Vancouver Branch 22,Vancouver,British Columbia,Canada,West,Retail,1,2021-09-09,2026-08-18
A00069,C00801,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,ACTIVE,29684.48,2011-04-07,,BR024,Halifax Branch 24,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2011-04-07,2026-08-18
A00070,C00545,SAVING,Deposit,Retail Banking,Deposit,1,Low,CAD,1,A,10831.63,2011-09-26,,BR022,Montreal Branch 22,Montreal,Quebec,Canada,Central,Retail,1,2011-09-26,2026-08-18
A00071,C00980,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,18461.03,2014-06-08,2019-04-22,BR016,Montreal Branch 16,Montreal,Quebec,Canada,Central,Retail,1,2014-06-08,2026-08-18
A00072,C01045,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,A,14184.3,2013-03-13,,BR005,Toronto Branch 5,Toronto,Ontario,Canada,Central,Retail,1,2013-03-13,2026-08-18
A00073,C00847,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,24330.32,2025-09-03,,BR025,Halifax Branch 25,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2025-09-03,2026-08-18
A00074,C00809,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,CLOSED,87002.21,2018-07-02,2019-01-23,BR025,Toronto Branch 25,Toronto,Ontario,Canada,Central,Retail,1,2018-07-02,2026-08-18
A00075,C00982,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,ACTIVE,74735.15,2021-07-15,,BR005,Toronto Branch 5,Toronto,Ontario,Canada,Central,Retail,1,2021-07-15,2026-08-18
A00076,C00064,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,77196.47,2017-10-17,2023-06-14,BR014,Toronto Branch 14,Toronto,Ontario,Canada,Central,Retail,1,2017-10-17,2026-08-18
A00077,C00757,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,ACTIVE,77178.27,2012-12-25,,BR002,Halifax Branch 2,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2012-12-25,2026-08-18
A00078,C00670,CREDIT CARD,Credit,Cards,Credit,1,Medium,CAD,1,C,83550.61,2018-08-21,2022-02-14,BR020,Vancouver Branch 20,Vancouver,British Columbia,Canada,West,Retail,1,2018-08-21,2026-08-18
A00079,C01003,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,ACTIVE,46667.47,2025-07-25,,BR003,Vancouver Branch 3,Vancouver,British Columbia,Canada,West,Retail,1,2025-07-25,2026-08-18
A00080,C01052,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,C,87412.53,2012-05-21,2018-07-21,BR020,Calgary Branch 20,Calgary,Alberta,Canada,West,Retail,1,2012-05-21,2026-08-18
A00081,C00393,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,34525.58,2020-04-19,,BR010,Montreal Branch 10,Montreal,Quebec,Canada,Central,Retail,1,2020-04-19,2026-08-18
A00082,C00605,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,CLOSED,76715.56,2023-05-09,2024-06-27,BR005,Calgary Branch 5,Calgary,Alberta,Canada,West,Retail,1,2023-05-09,2026-08-18
A00083,C00597,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,CLOSED,16928.27,2020-04-26,2026-03-26,BR024,Montreal Branch 24,Montreal,Quebec,Canada,Central,Retail,1,2020-04-26,2026-08-18
A00084,C00555,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,CLOSED,24186.2,2020-03-21,2024-07-03,BR016,Toronto Branch 16,Toronto,Ontario,Canada,Central,Retail,1,2020-03-21,2026-08-18
A00085,C01128,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,A,24879.84,2020-03-09,,BR013,Calgary Branch 13,Calgary,Alberta,Canada,West,Retail,1,2020-03-09,2026-08-18
A00086,C01196,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,45203.44,2012-04-26,2023-07-03,BR018,Halifax Branch 18,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2012-04-26,2026-08-18
A00087,C01003,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,A,98148.55,2023-04-09,,BR021,Calgary Branch 21,Calgary,Alberta,Canada,West,Retail,1,2023-04-09,2026-08-18
A00088,C00741,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,A,13542.6,2023-07-11,,BR004,Vancouver Branch 4,Vancouver,British Columbia,Canada,West,Retail,1,2023-07-11,2026-08-18
A00089,C00867,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,C,78279.0,2012-05-04,2015-04-12,BR024,Halifax Branch 24,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2012-05-04,2026-08-18
A00090,C00881,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,C,71816.98,2011-01-04,2025-02-03,BR010,Halifax Branch 10,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2011-01-04,2026-08-18
A00091,C00311,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,C,35031.92,2017-10-20,2024-01-30,BR008,Toronto Branch 8,Toronto,Ontario,Canada,Central,Retail,1,2017-10-20,2026-08-18
A00092,C00329,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,53941.98,2020-04-06,2022-08-16,BR001,Calgary Branch 1,Calgary,Alberta,Canada,West,Retail,1,2020-04-06,2026-08-18
A00093,C00453,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,A,24242.39,2018-08-04,,BR014,Calgary Branch 14,Calgary,Alberta,Canada,West,Retail,1,2018-08-04,2026-08-18
A00094,C00632,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,C,-181.58,2015-03-08,2017-09-02,BR022,Vancouver Branch 22,Vancouver,British Columbia,Canada,West,Retail,1,2015-03-08,2026-08-18
A00095,C00837,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,ACTIVE,9586.84,2022-08-07,,BR003,Calgary Branch 3,Calgary,Alberta,Canada,West,Retail,1,2022-08-07,2026-08-18
A00096,C00421,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,CLOSED,53897.09,2014-12-13,2015-07-19,BR009,Vancouver Branch 9,Vancouver,British Columbia,Canada,West,Retail,1,2014-12-13,2026-08-18
A00097,C00421,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,CLOSED,61371.6,2020-06-01,2026-03-10,BR015,Vancouver Branch 15,Vancouver,British Columbia,Canada,West,Retail,1,2020-06-01,2026-08-18
A00098,C00447,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,CLOSED,78701.03,2012-10-27,2016-09-05,BR007,Toronto Branch 7,Toronto,Ontario,Canada,Central,Retail,1,2012-10-27,2026-08-18
A00099,C00050,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,C,37634.13,2022-05-08,2023-09-22,BR016,Montreal Branch 16,Montreal,Quebec,Canada,Central,Retail,1,2022-05-08,2026-08-18
A00100,C00737,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,38581.42,2024-12-26,,BR012,Halifax Branch 12,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2024-12-26,2026-08-18
A00101,C00714,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,CLOSED,8490.82,2025-07-24,2026-03-28,BR009,Halifax Branch 9,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2025-07-24,2026-08-18
A00102,C01060,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,16438.44,2021-05-16,,BR019,Montreal Branch 19,Montreal,Quebec,Canada,Central,Retail,1,2021-05-16,2026-08-18
A00103,C00190,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,8542.24,2022-06-02,,BR006,Halifax Branch 6,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2022-06-02,2026-08-18
A00104,C00571,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,28961.86,2012-09-09,2016-02-11,BR014,Montreal Branch 14,Montreal,Quebec,Canada,Central,Retail,1,2012-09-09,2026-08-18
A00105,C00107,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,22797.47,2023-05-06,,BR003,Toronto Branch 3,Toronto,Ontario,Canada,Central,Retail,1,2023-05-06,2026-08-18
A00106,C00158,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,1226.77,2025-07-06,,BR007,Montreal Branch 7,Montreal,Quebec,Canada,Central,Retail,1,2025-07-06,2026-08-18
A00107,C00756,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,A,77795.46,2018-03-18,,BR018,Halifax Branch 18,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2018-03-18,2026-08-18
A00108,C00558,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,A,32210.52,2015-04-26,,BR006,Toronto Branch 6,Toronto,Ontario,Canada,Central,Retail,1,2015-04-26,2026-08-18
A00109,C00271,Savings,Deposit,Retail Banking,Deposit,1,Low,CAD,1,ACTIVE,4358.62,2011-07-05,,BR005,Calgary Branch 5,Calgary,Alberta,Canada,West,Retail,1,2011-07-05,2026-08-18
A00110,C00226,CHEQUING,Deposit,Retail Banking,Deposit,0,Low,CAD,1,C,24201.79,2021-10-26,2024-06-29,BR006,Calgary Branch 6,Calgary,Alberta,Canada,West,Retail,1,2021-10-26,2026-08-18
A00111,C01084,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,ACTIVE,-442.37,2011-02-13,,BR015,Toronto Branch 15,Toronto,Ontario,Canada,Central,Retail,1,2011-02-13,2026-08-18
A00112,C00830,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,C,57535.92,2022-09-15,2026-03-08,BR024,Vancouver Branch 24,Vancouver,British Columbia,Canada,West,Retail,1,2022-09-15,2026-08-18
A00113,C00151,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,CLOSED,80386.29,2023-03-17,2023-12-30,BR007,Calgary Branch 7,Calgary,Alberta,Canada,West,Retail,1,2023-03-17,2026-08-18
A00114,C00645,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,CLOSED,29601.56,2013-10-14,2022-04-19,BR001,Montreal Branch 1,Montreal,Quebec,Canada,Central,Retail,1,2013-10-14,2026-08-18
A00115,C00287,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,ACTIVE,44719.01,2010-04-14,,BR019,Toronto Branch 19,Toronto,Ontario,Canada,Central,Retail,1,2010-04-14,2026-08-18
A00116,C00997,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,ACTIVE,90318.2,2017-03-01,,BR009,Vancouver Branch 9,Vancouver,British Columbia,Canada,West,Retail,1,2017-03-01,2026-08-18
A00117,C00503,Line of Credit,Credit,Lending,Credit,1,Medium,CAD,1,CLOSED,41287.9,2024-06-07,2024-11-17,BR002,Vancouver Branch 2,Vancouver,British Columbia,Canada,West,Retail,1,2024-06-07,2026-08-18
A00118,C00888,Checking,Deposit,Retail Banking,Deposit,0,Low,CAD,1,C,90893.9,2019-06-02,2024-09-18,BR021,Halifax Branch 21,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2019-06-02,2026-08-18
A00119,C00139,SAVING,Deposit,Retail Banking,Deposit,1,Low,CAD,1,CLOSED,93364.71,2019-06-27,2020-01-08,BR016,Calgary Branch 16,Calgary,Alberta,Canada,West,Retail,1,2019-06-27,2026-08-18
A00120,C00299,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,ACTIVE,611.15,2016-05-17,,BR004,Montreal Branch 4,Montreal,Quebec,Canada,Central,Retail,1,2016-05-17,2026-08-18
A00121,C00943,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,C,44560.05,2010-09-07,2011-04-22,BR011,Halifax Branch 11,Halifax,Nova Scotia,Canada,Atlantic,Retail,1,2010-09-07,2026-08-18
A00122,C01200,Credit Card,Credit,Cards,Credit,1,Medium,CAD,1,A,,2020-05-12,,BR017,Calgary Branch 17,Calgary,Alberta,Canada,West,Retail,1,2020-05-12,2026-08-18
