ticket_id,customer_id,ticket_date,category,priority,status,description,resolution_date,created_date,updated_date
T00201,C00178,2025-10-28,Mobile App,LOW,NEW,Sample mobile app issue 201,,2025-10-28,2025-10-28
T00202,C01122,2025-09-21,Payments,H,IN PROGRESS,Sample payments issue 202,,2025-09-21,2025-09-21
T00203,C00123,2026-01-22,Transfers,HIGH,OPEN,Sample transfers issue 203,,2026-01-22,2026-01-22
T00204,C00234,2026-06-12,Online Banking,MEDIUM,NEW,Sample online banking issue 204,,2026-06-12,2026-06-12
T00205,C00792,2025-12-17,Online Banking,LOW,CLOSED,Sample online banking issue 205,2025-12-31,2025-12-17,2025-12-31
T00206,C00504,2025-12-17,Account,HIGH,RESOLVED,Sample account issue 206,2025-12-23,2025-12-17,2025-12-23
T00207,C00996,2026-06-02,Transfers,H,NEW,Sample transfers issue 207,,2026-06-02,2026-06-02
T00208,C00319,2025-11-15,Mobile App,H,IN PROGRESS,Sample mobile app issue 208,,2025-11-15,2025-11-15
T00209,C01050,2026-06-09,Transfers,M,RESOLVED,Sample transfers issue 209,2026-06-18,2026-06-09,2026-06-18
T00210,C00172,2026-01-18,Payments,H,NEW,Sample payments issue 210,,2026-01-18,2026-01-18
T00211,C00639,2026-03-25,Mobile App,HIGH,NEW,Sample mobile app issue 211,,2026-03-25,2026-03-25
T00212,C00502,2026-08-07,Online Banking,MEDIUM,OPEN,Sample online banking issue 212,,2026-08-07,2026-08-07
T00213,C01102,2026-02-27,Mobile App,L,NEW,Sample mobile app issue 213,,2026-02-27,2026-02-27
T00214,C00150,2025-08-27,Card,HIGH,NEW,Sample card issue 214,,2025-08-27,2025-08-27
T00215,C00706,2026-06-06,Payments,L,IN PROGRESS,Sample payments issue 215,,2026-06-06,2026-06-06
T00216,C00428,2025-09-15,Payments,HIGH,CLOSED,Sample payments issue 216,2025-09-27,2025-09-15,2025-09-27
T00217,C01006,2025-12-16,Online Banking,LOW,CLOSED,Sample online banking issue 217,2025-12-24,2025-12-16,2025-12-24
T00218,C01018,2025-11-08,Transfers,MEDIUM,NEW,Sample transfers issue 218,,2025-11-08,2025-11-08
T00219,C00431,2026-02-24,Account,L,CLOSED,Sample account issue 219,2026-02-26,2026-02-24,2026-02-26
T00220,C00202,2026-06-08,Online Banking,M,OPEN,Sample online banking issue 220,,2026-06-08,2026-06-08
T00221,C00724,2025-09-11,Payments,HIGH,OPEN,Sample payments issue 221,,2025-09-11,2025-09-11
T00222,C00377,2025-08-25,Account,MEDIUM,RESOLVED,Sample account issue 222,2025-09-06,2025-08-25,2025-09-06
T00223,C00131,2026-01-03,Account,HIGH,NEW,Sample account issue 223,,2026-01-03,2026-01-03
T00224,C00648,2025-12-12,Account,M,NEW,Sample account issue 224,,2025-12-12,2025-12-12
T00225,C00749,2026-04-28,Payments,LOW,NEW,Sample payments issue 225,,2026-04-28,2026-04-28
T00226,C00962,2026-01-30,Payments,MEDIUM,IN PROGRESS,Sample payments issue 226,,2026-01-30,2026-01-30
T00227,C00602,2026-04-07,Mobile App,L,CLOSED,Sample mobile app issue 227,2026-04-21,2026-04-07,2026-04-21
T00228,C00571,2026-01-12,Card,L,NEW,Sample card issue 228,,2026-01-12,2026-01-12
T00229,C00045,2026-03-24,Online Banking,M,IN PROGRESS,Sample online banking issue 229,,2026-03-24,2026-03-24
T00230,C00012,2026-01-22,Account,MEDIUM,NEW,Sample account issue 230,,2026-01-22,2026-01-22
T00231,C00858,2025-10-26,Mobile App,M,NEW,Sample mobile app issue 231,,2025-10-26,2025-10-26
T00232,C00293,2026-02-03,Online Banking,LOW,CLOSED,Sample online banking issue 232,2026-02-13,2026-02-03,2026-02-13
T00233,C00856,2026-07-22,Payments,LOW,RESOLVED,Sample payments issue 233,2026-07-26,2026-07-22,2026-07-26
T00234,C00474,2025-12-09,Mobile App,LOW,NEW,Sample mobile app issue 234,,2025-12-09,2025-12-09
T00235,C00903,2026-03-08,Mobile App,L,OPEN,Sample mobile app issue 235,,2026-03-08,2026-03-08
T00236,C00552,2026-04-30,Transfers,HIGH,IN PROGRESS,Sample transfers issue 236,,2026-04-30,2026-04-30
T00237,C00226,2026-07-12,Mobile App,M,NEW,Sample mobile app issue 237,,2026-07-12,2026-07-12
T00238,C00382,2026-01-07,Online Banking,HIGH,IN PROGRESS,Sample online banking issue 238,,2026-01-07,2026-01-07
T00239,C00946,2026-05-10,Payments,L,IN PROGRESS,Sample payments issue 239,,2026-05-10,2026-05-10
T00240,C00707,2025-08-30,Account,MEDIUM,OPEN,Sample account issue 240,,2025-08-30,2025-08-30
T00241,C00239,2025-11-01,Account,L,RESOLVED,Sample account issue 241,2025-11-05,2025-11-01,2025-11-05
T00242,C00050,2026-03-22,Payments,HIGH,OPEN,Sample payments issue 242,,2026-03-22,2026-03-22
T00243,C00600,2026-04-23,Online Banking,MEDIUM,CLOSED,Sample online banking issue 243,2026-04-27,2026-04-23,2026-04-27
